method,group_field,group_value,sample_count,positive_count,negative_count,precision,recall,f1,fpr,specificity,accuracy,balanced_accuracy,TP,FP,TN,FN
wazuh_standard,behavior_family,screen_capture,5,5,0,1.0,0.6,0.75,,,0.6,,3,0,0,2
lexical_pipeline,behavior_family,screen_capture,5,5,0,1.0,0.6,0.75,,,0.6,,3,0,0,2
hybrid_or,behavior_family,screen_capture,5,5,0,1.0,0.8,0.888889,,,0.8,,4,0,0,1
hybrid_and,behavior_family,screen_capture,5,5,0,1.0,0.4,0.571429,,,0.4,,2,0,0,3
wazuh_standard,behavior_family,service_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,service_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,service_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,service_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,service_running_filter_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,service_running_filter_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,service_running_filter_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,service_running_filter_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,share_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,share_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,share_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,share_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,string_measure_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,string_measure_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,string_measure_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,string_measure_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,system_eventlog_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,system_eventlog_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,system_eventlog_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,system_eventlog_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,tcp_connection_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,tcp_connection_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,tcp_connection_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,tcp_connection_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,tcpclient_stream_partial,5,5,0,,0.0,,,,0.0,,0,0,0,5
lexical_pipeline,behavior_family,tcpclient_stream_partial,5,5,0,1.0,1.0,1.0,,,1.0,,5,0,0,0
hybrid_or,behavior_family,tcpclient_stream_partial,5,5,0,1.0,1.0,1.0,,,1.0,,5,0,0,0
hybrid_and,behavior_family,tcpclient_stream_partial,5,5,0,,0.0,,,,0.0,,0,0,0,5
wazuh_standard,behavior_family,temp_listing_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
lexical_pipeline,behavior_family,temp_listing_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,temp_listing_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
hybrid_and,behavior_family,temp_listing_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,timezone_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,timezone_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,timezone_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,timezone_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,wmi_quick_fix_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,wmi_quick_fix_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,wmi_quick_fix_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,wmi_quick_fix_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,xml_parse_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,xml_parse_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,xml_parse_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,xml_parse_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
