fold,sample_count,positive_count,negative_count,precision,recall,f1,fpr,specificity,accuracy,TP,FP,TN,FN
0,60,30,30,0.967742,1.0,0.983607,0.033333,0.966667,0.983333,30,1,29,0
1,60,30,30,0.888889,0.8,0.842105,0.1,0.9,0.85,24,3,27,6
2,60,30,30,0.857143,1.0,0.923077,0.166667,0.833333,0.916667,30,5,25,0
3,60,30,30,0.866667,0.866667,0.866667,0.133333,0.866667,0.866667,26,4,26,4
4,60,30,30,0.961538,0.833333,0.892857,0.033333,0.966667,0.9,25,1,29,5
